date,close,pct_change
2020-01-01,23171.0,0.0
2020-01-02,23168.0,-0.0001
2020-01-03,23171.0,0.0001
2020-01-06,23176.0,0.0002
2020-01-07,23175.0,0.0
2020-01-08,23175.0,0.0
2020-01-09,23173.0,-0.0001
2020-01-10,23176.0,0.0001
2020-01-13,23173.0,-0.0001
2020-01-14,23175.0,0.0001
2020-01-15,23170.0,-0.0002
2020-01-16,23171.0,0.0
2020-01-17,23170.0,0.0
2020-01-20,23169.0,0.0
2020-01-21,23170.0,0.0
2020-01-22,23169.0,0.0
2020-01-23,23169.0,0.0
2020-01-24,23169.0,0.0
2020-01-27,23169.0,0.0
2020-01-28,23169.0,0.0
2020-01-29,23169.0,0.0
2020-01-30,23182.0,0.0006
2020-01-31,23222.0,0.0017000000000000001
2020-02-03,23250.0,0.0012
2020-02-04,23230.0,-0.0009
2020-02-05,23220.0,-0.0004
2020-02-06,23221.0,0.0
2020-02-07,23230.0,0.0004
2020-02-10,23258.0,0.0012
2020-02-11,23240.0,-0.0008
2020-02-12,23250.0,0.0004
2020-02-13,23239.0,-0.0005
2020-02-14,23245.0,0.0003
2020-02-17,23228.0,-0.0007000000000000001
2020-02-18,23239.0,0.0005
2020-02-19,23225.0,-0.0006
2020-02-20,23236.0,0.0005
2020-02-21,23242.0,0.0003
2020-02-24,23247.0,0.0002
2020-02-25,23270.0,0.001
2020-02-26,23240.0,-0.0013
2020-02-27,23240.0,0.0
2020-02-28,23240.0,0.0
2020-03-02,23240.0,0.0
2020-03-03,23218.0,-0.0009
2020-03-04,23206.0,-0.0005
2020-03-05,23210.0,0.0002
2020-03-06,23205.0,-0.0002
2020-03-09,23172.0,-0.0014000000000000002
2020-03-10,23174.0,0.0001
2020-03-11,23172.0,-0.0001
2020-03-12,23195.0,0.001
2020-03-13,23208.0,0.0006
2020-03-16,23225.0,0.0007000000000000001
2020-03-17,23238.0,0.0006
2020-03-18,23282.0,0.0019
2020-03-19,23354.0,0.0031
2020-03-20,23455.0,0.0043
2020-03-23,23540.0,0.0036
2020-03-24,23580.0,0.0017000000000000001
2020-03-25,23600.0,0.0008
2020-03-26,23620.0,0.0008
2020-03-27,23620.0,0.0
2020-03-30,23640.0,0.0008
2020-03-31,23616.0,-0.001
2020-04-01,23590.0,-0.0011
2020-04-02,23590.0,0.0
2020-04-03,23550.0,-0.0017000000000000001
2020-04-06,23440.0,-0.004699999999999999
2020-04-07,23450.0,0.0004
2020-04-08,23550.0,0.0043
2020-04-09,23488.0,-0.0026
2020-04-10,23435.0,-0.0023
2020-04-13,23432.0,-0.0001
2020-04-14,23471.0,0.0017000000000000001
2020-04-15,23440.0,-0.0013
2020-04-16,23440.0,0.0
2020-04-17,23424.0,-0.0007000000000000001
2020-04-20,23450.0,0.0011
2020-04-21,23460.0,0.0004
2020-04-22,23479.0,0.0008
2020-04-23,23485.0,0.0003
2020-04-24,23505.0,0.0009
2020-04-27,23455.0,-0.0021
2020-04-28,23442.0,-0.0006
2020-04-29,23428.0,-0.0006
2020-04-30,23428.0,0.0
2020-05-01,23428.0,0.0
2020-05-04,23445.0,0.0007000000000000001
2020-05-05,23421.0,-0.001
2020-05-06,23423.0,0.0001
2020-05-07,23425.0,0.0001
2020-05-08,23377.0,-0.002
2020-05-11,23322.0,-0.0024
2020-05-12,23330.0,0.0003
2020-05-13,23347.0,0.0007000000000000001
2020-05-14,23350.0,0.0001
2020-05-15,23355.0,0.0002
2020-05-18,23338.0,-0.0007000000000000001
2020-05-19,23295.0,-0.0018
2020-05-20,23270.0,-0.0011
2020-05-21,23275.0,0.0002
2020-05-22,23267.0,-0.0003
2020-05-25,23312.0,0.0019
2020-05-26,23336.0,0.001
2020-05-27,23325.0,-0.0005
2020-05-28,23300.0,-0.0011
2020-05-29,23280.0,-0.0009
2020-06-01,23260.0,-0.0009
2020-06-02,23253.0,-0.0003
2020-06-03,23260.0,0.0003
2020-06-04,23263.0,0.0001
2020-06-05,23255.0,-0.0003
2020-06-08,23255.0,0.0
2020-06-09,23205.0,-0.0022
2020-06-10,23190.0,-0.0006
2020-06-11,23215.0,0.0011
2020-06-12,23206.0,-0.0004
2020-06-15,23220.0,0.0006
2020-06-16,23210.0,-0.0004
2020-06-17,23196.0,-0.0006
2020-06-18,23210.0,0.0006
2020-06-19,23215.0,0.0002
2020-06-22,23210.0,-0.0002
2020-06-23,23213.0,0.0001
2020-06-24,23195.0,-0.0008
2020-06-25,23208.0,0.0006
2020-06-26,23210.0,0.0001
2020-06-29,23198.0,-0.0005
2020-06-30,23204.0,0.0003
2020-07-01,23203.0,0.0
2020-07-02,23202.0,0.0
2020-07-03,23199.0,-0.0001
2020-07-06,23201.0,0.0001
2020-07-07,23180.0,-0.0009
2020-07-08,23188.0,0.0003
2020-07-09,23184.0,-0.0002
2020-07-10,23177.0,-0.0003
